symbol,earnings_date,expected_move,actual_move,abs_actual_move,move_ratio,sd_03,sd_05,sd_07,sd_10,sd_20
A,2016-05-17,0.039966,0.034233815,0.034233815,0.8565734624430766,0.004971760058563784,0.007184821404412871,0.006296740261823022,0.0053490179254002445,0.006580386517689402
A,2016-08-18,0.037969,-0.035308693,0.035308693,0.9299347625694645,0.010335834429317646,0.016283435221019032,0.013393051750781206,0.0117401429834696,0.015124348347324337
A,2016-11-16,0.045268,0.017180617,0.017180617,0.3795311699213572,0.009537368983513437,0.009176932828211897,0.012612035033599912,0.014252400984825466,0.013368134408307777
A,2017-02-15,0.034518,0.024409605,0.024409605,0.7071558317399618,0.01566651242836747,0.011227558205239631,0.009446323312259084,0.010281002462558773,0.012973552138478847
A,2017-05-23,0.027722,0.046005706,0.046005706,1.6595377678378183,0.004407487819450851,0.006248922017340937,0.005385274959453552,0.006650538946616159,0.008174798862194773
A,2017-08-16,0.040506,0.046480296,0.046480296,1.1474916308695007,0.016071630327554702,0.015055527878025375,0.012386407438315284,0.010453617270817415,0.00916886829610104
A,2017-11-21,0.035004,-7.14694e-4,7.14694e-4,0.020417495143412182,0.013721821769671972,0.01876720821814149,0.01608624067140526,0.016900892087262857,0.01352050805345302
A,2018-02-15,0.032014,0.033285509,0.033285509,1.039717279940026,0.007784123106714562,0.006236956780233103,0.008846439541627388,0.008604138636044699,0.010689297313620047
A,2018-05-15,0.045948,-0.096951308,0.096951308,2.110022373117437,0.01786450516209761,0.01676452704414716,0.015105173465702827,0.015997431224263385,0.013298931589045536
AABA,2018-02-27,0.037162,-0.024974385,0.024974385,0.6720409289058716,0.0013484410443155665,0.01828864125003808,0.015762573994800078,0.015643467321419774,0.022495345576353614
AAC,2016-08-04,0.057648,0.003006012,0.003006012,0.05214425478767694,0.03180330688313786,0.03354629724411323,0.045040482016969974,0.037002081476522744,0.03227721364503731
AAC,2016-11-03,0.089658,-0.509125236,0.509125236,5.678525463427692,0.04551579232787321,0.06077025351515664,0.07956120056963913,0.06886253699771193,0.06083461260553875
AAC,2017-02-28,0.118184,0.208168643,0.208168643,1.761394461179178,0.019936053913047258,0.018806934355132813,0.015742944803334234,0.015168441627883717,0.023373794202091843
AAC,2017-05-04,0.104111,0.077235772,0.077235772,0.7418598611097771,0.06349119079194168,0.05611243002437551,0.04749842518906462,0.04029055365484719,0.03825320129334869
AAC,2017-08-03,0.159202,0.202970297,0.202970297,1.2749230348864964,0.06294321772887204,0.050127729632141294,0.04099136618959941,0.039065268417328276,0.030648840136784046
AAC,2017-11-02,0.119066,0.327152318,0.327152318,2.747655233231989,0.06110759654610744,0.05008608285742645,0.05765983208239881,0.049155650285235816,0.04336771908996308
AAC,2018-02-22,0.170693,0.071599045,0.071599045,0.4194609327857615,0.03159176417751181,0.026314155682768906,0.022446589952537815,0.03906282563662029,0.03609791939631669
AAC,2018-05-03,0.098977,-0.036213992,0.036213992,0.365882902088364,0.019749939455248066,0.016821871639075364,0.029394669357218066,0.02521151641452141,0.02524657455705734
AAL,2016-07-22,0.04278,0.040045767,0.040045767,0.9360861851332399,0.019524202585662606,0.017383247722499228,0.02541743642124669,0.024050509369304626,0.019920949808078164
AAL,2016-10-20,0.032,-9.84494e-4,9.84494e-4,0.0307654375,0.008339991086805255,0.011847437008670966,0.011634962422365535,0.01138147227520868,0.016408148624329554
AAL,2017-01-27,0.032555,-0.05323654,0.05323654,1.6352799877131008,0.020343878594206666,0.01906457941484064,0.020758555641234407,0.02023167626461332,0.016475593980282973
AAL,2017-04-27,0.028417,-0.052155172,0.052155172,1.8353510926558045,0.03824843043584788,0.027053663156012223,0.022843230504772247,0.024500159387766663,0.02200260873887184
AAL,2017-07-28,0.040912,0.0098,0.0098,0.23953852170512321,0.012137862237931696,0.008878174548762332,0.008760658783150322,0.008812750797503287,0.01995445200752481
